,cent_x,cent_y
BK09,-73.99541332726929,40.69614254580111
BK17,-73.93920403038786,40.5884892177124
BK19,-73.96062563876515,40.58252235136915
BK21,-73.98621308516181,40.57709552336075
BK23,-73.97427828620569,40.5796956673697
BK25,-73.96453719991389,40.59993612157075
BK26,-73.98281791959305,40.58892486046675
BK27,-74.00751185053355,40.604022726931944
BK28,-73.99507256588694,40.60968976465235
BK29,-73.98585945557825,40.602003208892455
BK30,-74.01239326606279,40.6214672062506
BK31,-74.02852281991309,40.62360099357725
BK32,-74.00995958564255,40.65360448746015
BK33,-74.0035895047657,40.67849579232495
BK34,-74.00295283618155,40.6415394443181
BK35,-73.93012675807304,40.6887208784214
BK37,-73.98366862524296,40.67194320102815
BK38,-73.9865458526204,40.69264834579165
BK40,-73.9796376813519,40.6534856015691
BK41,-73.978195711039,40.6394091915943
BK42,-73.96066166525445,40.640813813693
BK43,-73.95794370542035,40.62008269206905
BK44,-73.94642914912335,40.6063373801461
BK45,-73.91726342834119,40.6177951431242
BK46,-73.97035634768665,40.6176443864839
BK50,-73.88841717410611,40.6468120936482
BK58,-73.93211629390954,40.6279557163668
BK60,-73.944772167759,40.6573532005077
BK61,-73.94241636060934,40.6739741982972
BK63,-73.9456311054517,40.66725409136685
BK64,-73.9681288323636,40.677236293310955
BK68,-73.97619848558644,40.69013413772966
BK69,-73.96170814049195,40.6887728682964
BK72,-73.95772212748454,40.70324117703025
BK73,-73.95865229020359,40.7154051323928
BK75,-73.9506909023469,40.691785216664755
BK76,-73.9472459481466,40.72880000457205
BK77,-73.9176599765033,40.6989963467167
BK78,-73.92350667513345,40.696304803002846
BK79,-73.91140083256825,40.6771635427747
BK81,-73.91259476041535,40.66380956082595
BK82,-73.88256794366195,40.6588278547933
BK83,-73.88259658637415,40.68271636460575
BK85,-73.89266630773099,40.667158126848804
BK88,-73.9901312561046,40.628608600145455
BK90,-73.93711805249376,40.71445067820375
BK91,-73.9370800839144,40.6441959357186
BK93,-73.8884110221912,40.6470492097476
BK95,-73.9522084075823,40.6470163128044
BK96,-73.92023408927554,40.6526632466228
BK99,-73.92165951514394,40.5839215266757
BX01,-73.90038425400975,40.8453250584626
BX03,-73.8233228568787,40.8774166796519
BX05,-73.89127570409755,40.868686228823904
BX06,-73.88619184739295,40.8577476292524
BX07,-73.86386104516421,40.864396674942796
BX08,-73.8733132541215,40.834689329802046
BX09,-73.87843055977996,40.821336017203805
BX10,-73.7889232348727,40.834922752423
BX13,-73.82951579092794,40.8734440010724
BX14,-73.9163514822178,40.83064356030965
BX17,-73.88201994715425,40.846074726831546
BX22,-73.9084735679165,40.9000870701516
BX26,-73.92489611244221,40.83678215774265
BX27,-73.88560224407644,40.81392355082245
BX28,-73.8958786028228,40.8760203455627
BX29,-73.9107607984414,40.88185200199055
BX30,-73.9053963182113,40.865373272583795
BX31,-73.84495451492985,40.86575559328685
BX33,-73.89865244253275,40.819060751484244
BX34,-73.91396140461565,40.8183428040464
BX35,-73.9013947380404,40.827995959544296
BX36,-73.91638433179261,40.8537199454894
BX37,-73.85101337373935,40.849670561727294
BX39,-73.9175344141006,40.80759998009765
BX40,-73.89836149035075,40.8583399680263
BX41,-73.90629160379899,40.8492341907358
BX43,-73.87869398034064,40.876868546282104
BX44,-73.85823521669286,40.883318650595946
BX46,-73.85808376633925,40.83770370510965
BX49,-73.8524512788553,40.85347615134945
BX52,-73.83960494663529,40.83509812747925
BX55,-73.87039998927675,40.82829875095525
BX59,-73.8498546071523,40.83262112452295
BX62,-73.85633555187965,40.8990690421154
BX63,-73.92249674615829,40.829189917706955
BX75,-73.88497354561594,40.831329193628946
BX98,-73.88180570124075,40.79206185163994
BX99,-73.87104719291969,40.81734134177189
MN01,-73.92193319711406,40.8561763559402
MN03,-73.94296706344244,40.820973494274554
MN04,-73.949099448136,40.8276518928115
MN06,-73.95405611070885,40.817527599861
MN09,-73.9624879614671,40.80807049606445
MN11,-73.95071056397529,40.8041657029299
MN12,-73.97408026565135,40.790452639410105
MN13,-73.9981129400599,40.74856351246085
MN14,-73.98562049184841,40.77459418662445
MN15,-73.99306284794834,40.7641166960895
MN17,-73.98345110258025,40.755615708823754
MN19,-73.96856477841905,40.752992253854046
MN20,-73.97765365299215,40.744220920984304
MN21,-73.98401124555045,40.737345688489555
MN22,-73.9853165434795,40.727962091143354
MN23,-74.0021310587326,40.733284781165345
MN24,-74.0039051922405,40.720243863761795
MN25,-74.0016427770623,40.6948986222657
MN27,-73.99498082608966,40.7160501706594
MN28,-73.98173960302181,40.70572892004605
MN31,-73.95077649770525,40.761288284542005
MN32,-73.93859279896895,40.780481300777154
MN33,-73.94541661336291,40.7904873483555
MN34,-73.9386078208116,40.80562104587865
MN35,-73.93579945643575,40.85864483861245
MN36,-73.94077581728575,40.8412027196718
MN40,-73.96117472692416,40.77474070012505
MN50,-73.97698267596255,40.73171796595225
MN99,-74.0101715042116,40.68515222528605
QN01,-73.7922961679215,40.6942020812535
QN02,-73.77288756465461,40.673476858814055
QN03,-73.77026326153444,40.6602909665342
QN05,-73.7445251655142,40.6592700813394
QN06,-73.7729867491665,40.72046044122735
QN07,-73.76119727090766,40.710966552117654
QN08,-73.7634309252814,40.69171895967615
QN10,-73.91174821838041,40.555371374463
QN12,-73.79020972088091,40.59610223078625
QN15,-73.7560821941965,40.6025904794453
QN17,-73.84593720847336,40.722710311372694
QN18,-73.8656755009424,40.7237116719645
QN19,-73.87627669741624,40.702672843311646
QN20,-73.9008271419267,40.70469983226265
QN21,-73.88220518855974,40.71857093225415
QN22,-73.82741704760934,40.7643564559894
QN23,-73.86856090480315,40.786709351378704
QN25,-73.85771032379554,40.7415749756632
QN26,-73.86339319132036,40.7516452823495
QN27,-73.865443335005,40.76420916833405
QN28,-73.88464394272985,40.759182585122545
QN29,-73.8781120844046,40.738483190257455
QN30,-73.9056011849176,40.72403376203205
QN31,-73.93487277185267,40.735936425483246
QN33,-73.73676536162671,40.6933696253661
QN34,-73.74201851869165,40.7139692214276
QN35,-73.80832735579094,40.71074907926075
QN37,-73.81919612636929,40.7277990338505
QN38,-73.8027638426472,40.7274067808753
QN41,-73.78331067735826,40.73456551721065
QN42,-73.75395108513506,40.743312921133146
QN43,-73.72861203928775,40.736744878725446
QN44,-73.7144868036096,40.743540681804
QN45,-73.73454716849474,40.76284621546455
QN46,-73.77471507084785,40.76122381229355
QN47,-73.78527583930531,40.784888884401056
QN48,-73.7865181883522,40.75435103988275
QN49,-73.81570055014944,40.7883190677774
QN50,-73.8938871775792,40.74016462333075
QN51,-73.80844653177596,40.76866558863975
QN52,-73.80771466654176,40.753786071648605
QN53,-73.8549416985156,40.6899855535805
QN54,-73.83005670002066,40.692687809767506
QN55,-73.8206318482914,40.677218281575
QN56,-73.8483502092778,40.67507053182575
QN57,-73.85897533604741,40.65276104812615
QN60,-73.8297636406129,40.70869801460585
QN61,-73.79241323440395,40.7032877135407
QN62,-73.81612323314886,40.7444369542836
QN63,-73.90352257689234,40.75110075250625
QN66,-73.74375004496551,40.67616339181285
QN68,-73.93748374840814,40.7601018089396
QN70,-73.92030889121621,40.761107889136696
QN71,-73.92778157225224,40.77142077956245
QN72,-73.9058454437272,40.77841011889579
QN76,-73.7889869545269,40.67826416691216
QN98,-73.74707722506136,40.63714571115245
QN99,-73.8824912442326,40.5662492176037
SI01,-74.19035024146206,40.5320351890832
SI05,-74.1640602697629,40.59547778584075
SI07,-74.1236580412106,40.6195770170894
SI08,-74.0873234069477,40.62013116264295
SI11,-74.23064521649735,40.52732391262065
SI12,-74.15945581059364,40.6428639850284
SI14,-74.0725671016923,40.599050993935606
SI22,-74.1006481738633,40.6359982264702
SI24,-74.13021379666776,40.585668840778496
SI25,-74.12215977250165,40.5620840598463
SI28,-74.12600185505346,40.64083310543275
